index,id,功能词,代名詞,特定人稱代名詞,第一人稱單數代名詞,第一人稱複數代名詞,第二人稱代名詞,第三人稱單數代名詞,第三人稱複數代名詞,非特定人稱代名詞,動詞,助動詞,副詞,介係詞,連接詞,否定詞,概數詞,數字,髒話,第二人稱複數代名詞,後置詞,特指定詞,量詞,語助詞,多用途詞,時態標定詞,過去時態標定詞,現在時態標定詞,未來時態標定詞,延續時態標定詞,社會歷程詞,家族詞,朋友詞,人類詞,情感歷程詞,正向情緒詞,負向情緒詞,焦慮詞,生氣詞,悲傷詞,認知歷程詞,洞察詞,因果詞,差距詞,暫訂詞,確切詞,限制詞,包含詞,排除詞,感知歷程詞,視覺詞,聽覺詞,感覺詞,生理歷程詞,身體詞,健康詞,性詞,攝食詞,相對詞,移動詞,空間詞,時間詞,工作詞,成就詞,休閒詞,家庭詞,金錢詞,宗教詞,死亡詞,應和詞,停頓贅詞,填充贅詞,label
667,25390239,0.439077936,0.03183315,0.010976948,0.004390779,0.001097695,0.001097695,0.00219539,0.003293085,0.021953897,0.103183315,0.029637761,0.06805708,0.063666301,0.053787047,0.020856202,0.027442371,0.026344676,0,0,0.047200878,0.021953897,0.050493963,0.061470911,0.073545554,0.038419319,0.003293085,0.010976948,0.009879254,0.014270033,0.038419319,0,0,0.016465423,0.061470911,0.010976948,0.046103183,0.014270033,0.014270033,0,0.176728869,0.032930845,0.013172338,0.027442371,0.025246981,0.007683864,0.014270033,0.048298573,0.025246981,0.024149286,0.012074643,0.005488474,0.005488474,0.005488474,0.005488474,0,0,0,0.155872667,0.042810099,0.096597146,0.039517014,0.025246981,0.019758507,0.00219539,0.037321625,0.012074643,0.001097695,0,0.03622393,0.003293085,0.009879254,1
915,50913,0.442028986,0.02173913,0.007246377,0,0,0.007246377,0,0,0.014492754,0.101449275,0.014492754,0.057971014,0.057971014,0.065217391,0.043478261,0.057971014,0.007246377,0,0,0.036231884,0.014492754,0.057971014,0.065217391,0.057971014,0.028985507,0,0.014492754,0,0.014492754,0.02173913,0,0,0,0.043478261,0.014492754,0,0,0,0,0.224637681,0.043478261,0.036231884,0.02173913,0.050724638,0.007246377,0,0.050724638,0.02173913,0.028985507,0.014492754,0,0.014492754,0.036231884,0.007246377,0,0,0.028985507,0.144927536,0.036231884,0.101449275,0.050724638,0.028985507,0.007246377,0.028985507,0.02173913,0.050724638,0,0,0.036231884,0,0,0
1499,33279,0.414634146,0.06097561,0.036585366,0,0,0.024390244,0.012195122,0,0.024390244,0.12195122,0.012195122,0.048780488,0.048780488,0.024390244,0.036585366,0.036585366,0,0,0,0.012195122,0,0.048780488,0.097560976,0.12195122,0,0,0,0,0,0.097560976,0,0,0.024390244,0.06097561,0,0.024390244,0.012195122,0,0.012195122,0.195121951,0.073170732,0,0.024390244,0.012195122,0.012195122,0.024390244,0.048780488,0.012195122,0.073170732,0.012195122,0.024390244,0.024390244,0.073170732,0.024390244,0,0.06097561,0.012195122,0.12195122,0,0.097560976,0.024390244,0.024390244,0.012195122,0.012195122,0,0,0,0,0.024390244,0,0,0
1221,35700,0.426020408,0.025510204,0.012755102,0.00255102,0,0.010204082,0,0,0.012755102,0.160714286,0.022959184,0.089285714,0.06122449,0.038265306,0.030612245,0.033163265,0.005102041,0,0,0.028061224,0.010204082,0.040816327,0.089285714,0.12244898,0.033163265,0.00255102,0.007653061,0.010204082,0.012755102,0.025510204,0,0,0.005102041,0.035714286,0.010204082,0.017857143,0,0,0.00255102,0.170918367,0.022959184,0.033163265,0.025510204,0.022959184,0.00255102,0.010204082,0.053571429,0.025510204,0.017857143,0.005102041,0.005102041,0.007653061,0.030612245,0.005102041,0.010204082,0,0.017857143,0.102040816,0.022959184,0.051020408,0.038265306,0.015306122,0.025510204,0.007653061,0,0.030612245,0,0,0.038265306,0.00255102,0.005102041,0
2708,1041,0.362204724,0.031496063,0.031496063,0,0,0.031496063,0,0,0,0.118110236,0.023622047,0.086614173,0.015748031,0.039370079,0,0,0,0,0,0.007874016,0,0.031496063,0.102362205,0.094488189,0.047244094,0,0.007874016,0.023622047,0.015748031,0.05511811,0,0,0.007874016,0.039370079,0.023622047,0.007874016,0.007874016,0,0,0.196850394,0.05511811,0.015748031,0.031496063,0.039370079,0.039370079,0.007874016,0.023622047,0.023622047,0.11023622,0.11023622,0,0,0,0,0,0,0,0.078740157,0.007874016,0.015748031,0.05511811,0,0,0,0,0.015748031,0.007874016,0,0.039370079,0.007874016,0,0
3327,76464,0.323659306,0.021451104,0.004416404,0.000630915,0.001892744,0.00126183,0,0.000630915,0.0170347,0.117350158,0.032807571,0.052996845,0.049211356,0.035962145,0.012618297,0.024605678,0.005678233,0,0,0.027760252,0.003785489,0.030914826,0.061198738,0.07444795,0.026498423,0.001892744,0.01955836,0.002523659,0.002523659,0.039747634,0.004416404,0.000630915,0.013880126,0.058044164,0.008201893,0.038485804,0.007570978,0.005047319,0.006940063,0.172870662,0.014511041,0.037223975,0.03533123,0.01829653,0.003785489,0.021451104,0.043533123,0.010094637,0.040378549,0.003785489,0,0.024605678,0.083280757,0.030283912,0.048580442,0.004416404,0.001892744,0.10977918,0.01955836,0.059936909,0.020189274,0.008832808,0.018927445,0.011356467,0.006940063,0.004416404,0.00126183,0.003154574,0.021451104,0,0.001892744,0
272,13051,0.5,0.166666667,0.055555556,0,0.055555556,0,0,0,0.111111111,0.111111111,0.055555556,0.055555556,0,0,0.055555556,0.111111111,0,0,0,0,0,0,0.055555556,0.055555556,0,0,0,0,0,0.111111111,0,0,0.055555556,0.111111111,0,0.055555556,0,0.055555556,0,0.277777778,0.055555556,0.055555556,0,0,0.111111111,0,0.055555556,0,0.055555556,0.055555556,0,0,0.055555556,0,0.055555556,0,0,0.111111111,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0.055555556,0.055555556,0
2948,35167,0.347432024,0.018126888,0.009063444,0,0.003021148,0.006042296,0,0,0.010574018,0.129909366,0.027190332,0.066465257,0.054380665,0.045317221,0.02265861,0.027190332,0.003021148,0,0,0.03021148,0.012084592,0.031722054,0.057401813,0.058912387,0.02265861,0.003021148,0.003021148,0.00755287,0.009063444,0.028700906,0,0,0.003021148,0.039274924,0.01510574,0.021148036,0.003021148,0.004531722,0.003021148,0.17673716,0.025679758,0.03021148,0.03021148,0.024169184,0.016616314,0.016616314,0.040785498,0.016616314,0.019637462,0.003021148,0.003021148,0.010574018,0.021148036,0.003021148,0.00755287,0,0.013595166,0.116314199,0.010574018,0.070996979,0.031722054,0.027190332,0.018126888,0.01510574,0.00755287,0.03776435,0,0.001510574,0.016616314,0,0.001510574,0
2892,42857,0.351230425,0.049217002,0.032438479,0.021252796,0.003355705,0.007829978,0,0,0.016778523,0.127516779,0.024608501,0.044742729,0.031319911,0.026845638,0.008948546,0.027964206,0.035794183,0.003355705,0,0.01901566,0.007829978,0.030201342,0.05033557,0.081655481,0.01901566,0.001118568,0.008948546,0.004474273,0.004474273,0.055928412,0.001118568,0,0.021252796,0.043624161,0.026845638,0.006711409,0,0.003355705,0,0.157718121,0.042505593,0.01901566,0.023489933,0.01901566,0.007829978,0.003355705,0.039149888,0.017897092,0.060402685,0.016778523,0.003355705,0.008948546,0.089485459,0.03803132,0.022371365,0.011185682,0.036912752,0.135346756,0.035794183,0.048098434,0.048098434,0.013422819,0.015659955,0.012304251,0.001118568,0.002237136,0.001118568,0,0.058165548,0.002237136,0.005592841,0
3165,35291,0.333333333,0.037037037,0,0,0,0,0,0,0.037037037,0.148148148,0.111111111,0.148148148,0,0,0,0,0,0,0,0,0,0,0.111111111,0.037037037,0.037037037,0,0,0,0.037037037,0,0,0,0,0.111111111,0.074074074,0.037037037,0,0,0,0.296296296,0.037037037,0,0.111111111,0,0.037037037,0,0.074074074,0.074074074,0,0,0,0,0.037037037,0.037037037,0,0,0,0.037037037,0,0,0.037037037,0,0,0,0,0.111111111,0,0,0.074074074,0.037037037,0,0
