id,i,we,you,shehe,they,ipron,PastM,PresentM,FutureM,ProgM,family,friend,humans,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,see,hear,feel,body,health,sexual,ingest,label
25099720,0.001372684,0.000686342,0.002745367,0.006177076,0.000686342,0.013726836,0.006177076,0.016472203,0.013040494,0.013726836,0.000686342,0.000686342,0.013726836,0.012354152,0.019903912,0.032258065,0.016472203,0.011667811,0.013040494,0.006177076,0.010295127,0.021276596,0.008922443,0.008236102,0.006177076,0.000686342,0.001372684,0.003431709,0,0.005490734,1
25880003,0.038732394,0.007042254,0.030985915,0.018309859,0.004225352,0.045070423,0.006338028,0.007042254,0.009859155,0.014084507,0.003521127,0,0.030985915,0.040140845,0.020422535,0.047183099,0.020422535,0.054929577,0.042957746,0.016901408,0.004225352,0.034507042,0.045070423,0.00915493,0.021126761,0.004225352,0.003521127,0.003521127,0,0,1
109791,0.005555556,0.005555556,0.044444444,0,0,0.005555556,0.005555556,0,0,0.005555556,0.005555556,0,0.005555556,0.027777778,0.011111111,0.033333333,0.011111111,0.005555556,0.027777778,0.011111111,0.005555556,0.027777778,0.033333333,0.011111111,0,0.005555556,0,0.022222222,0,0.027777778,0
284503,0,0,0,0,0,0.039215686,0,0,0,0.019607843,0,0,0.019607843,0.039215686,0.019607843,0.058823529,0.019607843,0.039215686,0,0.039215686,0.039215686,0.039215686,0,0.019607843,0,0.039215686,0,0,0,0,0
46455,0.004940711,0.001976285,0.000988142,0.009881423,0.001976285,0.027667984,0.002964427,0.013833992,0.005928854,0.010869565,0.001976285,0,0.029644269,0.020750988,0.016798419,0.026679842,0.035573123,0.038537549,0.024703557,0.006916996,0.011857708,0.042490119,0.024703557,0.001976285,0.002964427,0.006916996,0.020750988,0.027667984,0.007905138,0.039525692,0
327554,0,0.00862069,0.003448276,0,0,0.010344828,0.001724138,0.022413793,0.001724138,0.012068966,0.001724138,0,0.012068966,0.017241379,0.034482759,0.022413793,0.015517241,0.032758621,0.029310345,0.020689655,0.017241379,0.060344828,0.012068966,0.001724138,0.005172414,0.003448276,0.031034483,0.034482759,0.006896552,0.031034483,0
23227339,0.005263158,0,0.005263158,0.005263158,0.002631579,0.018421053,0.002631579,0.007894737,0.013157895,0.013157895,0,0,0.013157895,0.013157895,0.018421053,0.034210526,0.013157895,0.002631579,0.010526316,0.007894737,0.007894737,0.031578947,0.010526316,0.007894737,0.005263158,0.005263158,0.007894737,0.007894737,0.002631579,0,1
353970,0.001030928,0,0.013402062,0.003092784,0.001030928,0.027835052,0,0.012371134,0.007216495,0.006185567,0,0,0.008247423,0.016494845,0.024742268,0.020618557,0.024742268,0.046391753,0.030927835,0.013402062,0.009278351,0.046391753,0.026804124,0.005154639,0,0.008247423,0.02371134,0.057731959,0.003092784,0.022680412,0
332397,0.006546645,0.004091653,0.007364975,0.000818331,0.000818331,0.008183306,0.001636661,0.008183306,0.010638298,0.011456628,0.003273322,0.000818331,0.012274959,0.017184943,0.009819967,0.024549918,0.021276596,0.030278232,0.010638298,0.005728314,0.018821604,0.037643208,0.014729951,0.004091653,0.001636661,0.006546645,0.010638298,0.025368249,0,0.028641571,0
135193,0,0,0.005698006,0.004273504,0.001424501,0.031339031,0,0.014245014,0.007122507,0.005698006,0.001424501,0,0.008547009,0.01994302,0.031339031,0.021367521,0.027065527,0.045584046,0.032763533,0.014245014,0.011396011,0.04985755,0.031339031,0.004273504,0,0.007122507,0.022792023,0.06980057,0.004273504,0.022792023,0
315794,0,0,0,0,0,0.018963338,0.002528445,0.008849558,0.008849558,0.011378003,0.001264223,0,0.007585335,0.008849558,0.008849558,0.013906448,0.016434893,0.032869785,0.01517067,0.007585335,0.016434893,0.042983565,0.013906448,0.007585335,0,0.011378003,0.022756005,0.039190898,0.001264223,0.053097345,0
37233,0.014577259,0.00058309,0.00058309,0.002332362,0.00058309,0.013411079,0.003498542,0.006413994,0.004081633,0.01516035,0.003498542,0,0.007580175,0.013994169,0.01574344,0.022740525,0.012244898,0.022157434,0.013994169,0.01574344,0.006413994,0.035568513,0.022157434,0.020991254,0.005247813,0.008746356,0.016909621,0.040816327,0.002915452,0.020408163,0
313097,0,0.003174603,0.00952381,0,0,0.028571429,0.003174603,0.015873016,0.001587302,0.014285714,0.00952381,0.001587302,0.028571429,0.019047619,0.025396825,0.020634921,0.012698413,0.036507937,0.020634921,0.020634921,0.011111111,0.06031746,0.031746032,0.004761905,0,0.001587302,0.014285714,0.025396825,0,0.001587302,0
34317,0,0.004581901,0.004581901,0,0,0.021764032,0.005727377,0.011454754,0.005727377,0.011454754,0,0,0.005727377,0.012600229,0.026345934,0.025200458,0.034364261,0.026345934,0.017182131,0.009163803,0.025200458,0.048109966,0.016036655,0.012600229,0.004581901,0.010309278,0.003436426,0.004581901,0,0.024054983,0
181282,0,0.005141388,0.015424165,0,0,0.048843188,0.002570694,0,0.015424165,0.010282776,0,0,0.01285347,0.020565553,0.038560411,0.020565553,0.017994859,0.053984576,0.043701799,0.002570694,0.002570694,0.046272494,0.033419023,0.007712082,0,0.005141388,0.023136247,0.025706941,0.005141388,0.030848329,0
239492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26112,0.014760148,0.003690037,0.012915129,0.005535055,0,0.014760148,0.005535055,0.009225092,0.014760148,0.016605166,0.005535055,0.001845018,0.007380074,0.025830258,0.009225092,0.029520295,0.012915129,0.016605166,0.031365314,0.001845018,0.003690037,0.049815498,0.022140221,0.001845018,0.003690037,0.029520295,0.046125461,0.029520295,0,0.003690037,0
37298,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
27000,0,0.00907441,0.001814882,0,0,0.012704174,0,0.001814882,0.014519056,0.014519056,0,0,0.00907441,0.010889292,0.023593466,0.023593466,0.016333938,0.045372051,0.01814882,0.007259528,0.007259528,0.045372051,0.021778584,0.003629764,0,0.007259528,0.019963702,0.050816697,0,0.076225045,0
178850,0.002358491,0.002358491,0,0,0,0.018867925,0.004716981,0.004716981,0.007075472,0.014150943,0,0.002358491,0.007075472,0.009433962,0.016509434,0.023584906,0.016509434,0.007075472,0.007075472,0.021226415,0.002358491,0.04009434,0.033018868,0.004716981,0.007075472,0.002358491,0.030660377,0.04245283,0.004716981,0.04245283,0
158320,0,0.001355014,0.002710027,0.006775068,0,0.012195122,0.002710027,0.008130081,0.004065041,0.013550136,0.001355014,0,0.010840108,0.002710027,0.010840108,0.020325203,0.010840108,0.048780488,0.028455285,0.006775068,0.006775068,0.046070461,0.036585366,0.010840108,0.002710027,0.008130081,0.031165312,0.020325203,0,0.043360434,0
184557,0,0.001324503,0.005960265,0,0.001986755,0.02781457,0.000662252,0.004635762,0.00794702,0.01589404,0,0.000662252,0.011258278,0.012582781,0.01589404,0.022516556,0.016556291,0.037086093,0.031125828,0.003311258,0.005298013,0.038410596,0.025165563,0.004635762,0.005960265,0.018543046,0.035761589,0.036423841,0.00397351,0.029801325,0
25161830,0.003072197,0,0.001536098,0,0,0.010752688,0,0.003072197,0.007680492,0,0,0,0.006144393,0.004608295,0.010752688,0.007680492,0.019969278,0.029185868,0.01843318,0.010752688,0.046082949,0.038402458,0.016897081,0,0,0,0.006144393,0.001536098,0,0.003072197,1
223971,0.004541326,0.00181653,0,0,0.00181653,0.011807448,0.002724796,0.005449591,0.00181653,0.007266122,0,0,0.011807448,0.004541326,0.013623978,0.026339691,0.023614896,0.014532243,0.016348774,0.013623978,0.008174387,0.046321526,0.019981835,0.003633061,0.002724796,0.007266122,0.048138056,0.059037239,0,0.079019074,0
25668449,0,0,0.002734731,0,0,0.022789426,0.001823154,0.010938924,0.010027347,0.010938924,0,0,0.007292616,0.020966272,0.014585232,0.029170465,0.03372835,0.010938924,0.012762078,0.019143118,0.031905196,0.048313582,0.008204193,0.010938924,0.002734731,0,0.002734731,0.000911577,0.000911577,0,1
25385365,0.01964512,0.002534854,0,0.00887199,0,0.020912548,0.006970849,0.00887199,0.009505703,0.036121673,0.001267427,0,0.012674271,0.013941698,0.005703422,0.051964512,0.020912548,0.031685678,0.029150824,0.017110266,0.013307985,0.050697085,0.032319392,0.001901141,0.027249683,0.005069708,0.013941698,0.003802281,0,0,1
137461,0,0.000719942,0.000719942,0,0,0.012958963,0.002159827,0.010079194,0.00287977,0.004319654,0,0,0.00287977,0.026637869,0.025197984,0.010079194,0.015838733,0.041036717,0.028077754,0.006479482,0.007199424,0.033117351,0.016558675,0.002159827,0.003599712,0.011519078,0.061195104,0.062634989,0.00287977,0.030957523,0
177737,0.003028009,0.010598032,0.000757002,0,0,0.013626041,0.003028009,0.019682059,0.015897048,0.007570023,0.002271007,0,0.015897048,0.022710068,0.022710068,0.018168055,0.032551098,0.0333081,0.018168055,0.012869039,0.020439061,0.046177139,0.009084027,0.055261166,0,0.007570023,0.030280091,0.037093111,0.000757002,0.008327025,0
17146,0.002320186,0.025522042,0.002320186,0,0,0.009280742,0,0.016241299,0.009280742,0.023201856,0,0,0.004640371,0.004640371,0.020881671,0.034802784,0.011600928,0.020881671,0.018561485,0.004640371,0.009280742,0.064965197,0.03712297,0.004640371,0.004640371,0.006960557,0.011600928,0.03712297,0,0.03712297,0
