index,id,功能词,代名詞,特定人稱代名詞,第一人稱單數代名詞,工作詞,成就詞,label
667,25390239,0.439077936,0.03183315,0.010976948,0.004390779,0.025246981,0.019758507,1
915,50913,0.442028986,0.02173913,0.007246377,0,0.028985507,0.007246377,0
1499,33279,0.414634146,0.06097561,0.036585366,0,0.024390244,0.012195122,0
1221,35700,0.426020408,0.025510204,0.012755102,0.00255102,0.015306122,0.025510204,0
2708,1041,0.362204724,0.031496063,0.031496063,0,0,0,0
3327,76464,0.323659306,0.021451104,0.004416404,0.000630915,0.008832808,0.018927445,0
272,13051,0.5,0.166666667,0.055555556,0,0,0,0
2948,35167,0.347432024,0.018126888,0.009063444,0,0.027190332,0.018126888,0
2892,42857,0.351230425,0.049217002,0.032438479,0.021252796,0.013422819,0.015659955,0
3165,35291,0.333333333,0.037037037,0,0,0,0,0
1573,1752,0.411552347,0.027075812,0.010830325,0.005415162,0.012635379,0.005415162,0
363,338935,0.493506494,0.051948052,0.038961039,0,0.012987013,0,0
548,51640,0.469483568,0.018779343,0.014084507,0,0.014084507,0.009389671,1
2489,338365,0.374374374,0.042042042,0.023023023,0.006006006,0.016016016,0.013013013,1
3461,180047,0.311711712,0.025225225,0.009009009,0.003603604,0.005405405,0.027027027,1
1718,47664,0.404494382,0.033707865,0.008426966,0.002808989,0.016853933,0.011235955,1
3952,66602,0.2,0,0,0,0,0,1
3076,22160,0.338850174,0.018292683,0.004790941,0.00087108,0.008710801,0.011759582,1
